# prima misura con il piombo in cui vedevamo se c'erano
# differenze di conteggi aggiungendo delle lastre
#lastre	  Clock	  PMT5	  PMT4	  PMT3	  4&5	   3&4&5
0	       1e4	  686	 1632	  856	  221	   149
0	       1e4	  603	 1558	  848	  176	   126
0	       1e4	  692	 1540	  906	  209	   139
0	       1e6	  66921	 153010	  82820	  19642	   13041
1	       1e4	  655	 1513	  857	  220	   154
1	       1e4	  626	 1510	  875	  194	   133
1	       1e4	  697	 1522	  821	  195	   129
1	       1e6	  66573	 153422	  84849	  19772	   12912
2	       1e4	  663	 1560	  820	  188	   127
2	       1e4	  667	 1570	  819	  216	   138
2	       1e4	  640	 1490	  812	  178	   117
2	       1e6	  66360	 154575	  82254	  19856	   13018
4	       1e6	  65767	 153864	  80047	  20071	   12715
