# visualizzare con tab=10
#
# misure: quelle in presadati1212.txt
#
# durata secondo stadio A: (38 +- 2) ns
# durata secondo stadio B: (37 +- 2) ns
#
# clock	A	B	A&B	a&c	a&b&c	a&b&c&A	a&b&c&B	PMTA	PMTB	PMTa	PMTb	PMTc	prefit
#----------------------------------------------------------------------------------------------------------------------------------------
1e5	7513	16958	1632	1140	1054	764	842	3	4	2	5	6	1
3e5	22504	50217	4923	3677	3405	2426	2748	3	4	2	5	6	1
1e5	23688	89514	2286	1200	1110	1005	1049	3	4	2	5	6	1
1e5	24057	85104	2317	1293	1207	1081	1115	3	4	2	5	6	1
1e5	85713	84140	2391	1241	1149	1044	1071	3	4	2	5	6	1
1e5	336320	337053	2699	1238	1141	1042	1079	3	4	2	5	6	1
1e5	347229	339499	2678	1272	1150	1054	1098	3	4	2	5	6	1
1e6	3486673	3654718	26777	12175	11163	10307	10608	3	4	2	5	6	0
54413944	93555166	107266650	1370413	675409	620744	567583	586641	3	4	2	5	6	0
5428946	12407950	15049021	141548	67278	61960	56592	58785	3	4	2	5	6	0
1e5	218729	116204	2074	1247	1136	1048	1098	3	5	2	4	6	1
74832702	98917344	88277251	1550323	928983	847036	783834	826330	3	5	2	4	6	0
1e5	335083	204463	2061	1249	1120	1037	1095	3	5	2	4	6	1
1e5	4134344	187105	2838	1268	1159	1076	1100	3	5	2	4	6	1
1e5	4426281	186124	3000	1256	1117	1039	1068	3	5	2	4	6	0
1e5	120570	97688	1867	522	480	458	463	2	5	1	4	6	1
1e6	1206351	977575	19370	5387	4949	4749	4808	2	5	1	4	6	0
# forse le due prossime due misure avranno qualcosa che non va
# -> confermo dal prefit che sono molto sballate anche supponendo che i raggi siano verticali
# 1e5	121504	253216	1574	680	603	570	472	2	6	1	4	5	1
# 1e5	122622	131362	1467	756	720	641	528	2	6	1	4	5	1
1e6	1233265	1329361	14334	7256	6400	6056	4909	2	6	1	4	5	0
1e5	122701	134106	1480	751	676	646	532	2	6	1	4	5	1
1e5	122750	253274	1492	687	605	567	477	2	6	1	4	5	0
1e5	125673	111377	1971	538	493	466	482	2	5	1	4	6	1
12840754	13958014	14572786	255165	68855	63402	60630	62120	2	5	1	4	6	0
