#data elemento energia [Mev] media[digit] sigma[digit] err_media[digit] err_sigma[digit] cov(media,sigma)
22feb 	 Cs 137 	 0.662000 	 3854.670780 	 105.188968 	 1.134462 	 0.864936 	 -0.507909
22feb 	 Am 241 	 0.060000 	 356.541953 	 20.043332 	 0.119024 	 0.091132 	 -0.009407
22feb 	 Na 22 	 0.511000 	 3001.746112 	 95.296732 	 1.218567 	 0.777080 	 -0.640746
22feb 	 Na 22 	 1.275000 	 7250.002304 	 154.493923 	 2.029419 	 2.266302 	 2.516709
22feb 	 Co 60 	 1.173000 	 6677.436324 	 139.496489 	 1.089161 	 1.364817 	 -1.183856
22feb 	 Co 60 	 1.333000 	 7543.311689 	 155.280269 	 0.935596 	 0.932924 	 -0.521015
26feb 	 Cs 137 	 0.662000 	 3560.764601 	 100.709703 	 0.198562 	 0.360967 	 -0.016743
26feb 	 Am 241 	 0.060000 	 327.326288 	 18.839891 	 0.165666 	 0.108414 	 -0.012725
26feb 	 Na 22 	 0.511000 	 2771.283067 	 88.118647 	 1.219487 	 0.924154 	 -0.955054
#26feb 	 Na 22 	 1.275000 	 6184.600885 	 -2.970654 	 5.151837 	 5.713257 	 1.712241
#26feb 	 Co 60 	 1.173000 	 6348.834723 	 -143.900066 	 1.501702 	 1.952318 	 2.322740
26feb 	 Co 60 	 1.333000 	 7184.394640 	 167.138996 	 1.026053 	 1.041499 	 -0.615456
27feb 	 Cs 137 	 0.662000 	 3644.309355 	 101.636176 	 0.998508 	 1.138095 	 -0.346567
27feb 	 Am 241 	 0.060000 	 333.773270 	 18.948614 	 0.168595 	 0.108583 	 -0.015865
27feb 	 Na 22 	 0.511000 	 2834.036910 	 91.630194 	 0.497402 	 0.935921 	 -0.085836
27feb 	 Na 22 	 1.275000 	 6857.962604 	 158.561063 	 1.598656 	 1.643779 	 0.268505
27feb 	 Co 60 	 1.173000 	 6495.185201 	 157.727244 	 1.019399 	 1.613025 	 -1.083187
27feb 	 Co 60 	 1.333000 	 7361.628898 	 171.470402 	 0.867127 	 0.868691 	 -0.285134
22feb 	 Cs 137 	 0.662000 	 3855.149853 	 102.312320 	 1.028202 	 0.868352 	 0.026941
22feb 	 Am 241 	 0.060000 	 356.634483 	 19.998050 	 0.113885 	 0.092973 	 -0.009570
22feb 	 Na 22 	 0.511000 	 3002.869372 	 85.749811 	 0.940125 	 0.809201 	 0.024406
22feb 	 Na 22 	 1.275000 	 7249.396763 	 153.679176 	 2.173817 	 1.903070 	 2.612181
22feb 	 Co 60 	 1.173000 	 6677.436324 	 139.496489 	 1.089161 	 1.364817 	 -1.183856
22feb 	 Co 60 	 1.333000 	 7543.311689 	 155.280269 	 0.935596 	 0.932924 	 -0.521015
26feb 	 Cs 137 	 0.662000 	 3560.928709 	 97.845381 	 0.450508 	 0.379418 	 0.003400
26feb 	 Am 241 	 0.060000 	 327.425954 	 18.791657 	 0.170383 	 0.120526 	 -0.017144
26feb 	 Na 22 	 0.511000 	 2771.139857 	 88.242303 	 1.137420 	 0.898118 	 -0.919070
26feb 	 Na 22 	 1.275000 	 6227.963771 	 0.337205 	 0.052649 	 0.035451 	 -0.000109
26feb 	 Co 60 	 1.173000 	 6348.834723 	 -143.900066 	 1.501702 	 1.952318 	 2.322740
26feb 	 Co 60 	 1.333000 	 7184.394640 	 167.138996 	 1.026053 	 1.041499 	 -0.615456
27feb 	 Cs 137 	 0.662000 	 3644.538113 	 101.462406 	 0.920514 	 0.736721 	 -0.108525
27feb 	 Am 241 	 0.060000 	 333.766647 	 18.932380 	 0.139911 	 0.111821 	 -0.014046
27feb 	 Na 22 	 0.511000 	 2836.443922 	 88.757486 	 1.212865 	 0.968253 	 -1.056095
27feb 	 Na 22 	 1.275000 	 6857.844536 	 156.599904 	 1.558362 	 1.193278 	 0.173863
27feb 	 Co 60 	 1.173000 	 6495.185201 	 157.727244 	 1.019399 	 1.613025 	 -1.083187
27feb 	 Co 60 	 1.333000 	 7361.628898 	 171.470402 	 0.867127 	 0.868691 	 -0.285134
26feb 	 Na 22 	 1.275000 	 6227.963771 	 0.337205 	 0.052649 	 0.035451 	 -0.000109
26feb 	 Na 22 	 1.275000 	 6227.963771 	 0.337205 	 0.052649 	 0.035451 	 -0.000109
26feb 	 Na 22 	 1.275000 	 6221.023086 	 -45.581561 	 inf 	 inf 	 inf
26feb 	 Na 22 	 1.275000 	 6221.023086 	 -45.581561 	 inf 	 inf 	 inf
26feb 	 Na 22 	 0.511000 	 2770.402376 	 89.307501 	 inf 	 inf 	 inf
26feb 	 Na 22 	 0.511000 	 2770.402376 	 89.307501 	 inf 	 inf 	 inf
22feb 	 Na 22 	 0.511000 	 3006.082900 	 88.276519 	 3.586489 	 11.243889 	 14.969747
22feb 	 Na 22 	 1.275000 	 7250.518797 	 152.231376 	 2.193087 	 3.921106 	 -1.567922
22feb 	 Na 22 	 1.275000 	 8224.460238 	 -7210.179106 	 916662222.763805 	 3430003653.216457 	 -3140871840225597440.000000
22feb 	 Na 22 	 1.275000 	 8224.460238 	 -7210.179106 	 916662222.763805 	 3430003653.216457 	 -3140871840225597440.000000
22feb 	 Na 22 	 1.275000 	 7250.518797 	 152.231376 	 2.193087 	 3.921106 	 -1.567922
22feb 	 Na 22 	 1.275000 	 7250.540713 	 152.144494 	 inf 	 inf 	 inf
27feb 	 Na 22 	 1.275000 	 6849.602513 	 -158.737555 	 inf 	 inf 	 inf
27feb 	 Na 22 	 0.511000 	 2835.508875 	 89.936225 	 inf 	 inf 	 inf
27feb 	 Na 22 	 1.275000 	 6849.602513 	 -158.737555 	 inf 	 inf 	 inf
26feb 	 Na 22 	 1.275000 	 6715.729580 	 -105.208557 	 15.007307 	 39.145096 	 245.547615
26feb 	 Na 22 	 0.511000 	 2770.402376 	 89.307501 	 inf 	 inf 	 inf
26feb 	 Na 22 	 1.275000 	 6715.729580 	 -105.208557 	 15.007307 	 39.145096 	 245.547615
22feb 	 Cs 137 	 0.662000 	 3857.551528 	 103.204535 	 2.084592 	 5.111279 	 2.884212
22feb 	 Am 241 	 0.060000 	 356.503063 	 20.235623 	 0.118452 	 0.150231 	 -0.012885
22feb 	 Na 22 	 0.511000 	 3006.082900 	 88.276519 	 3.586489 	 11.243889 	 14.969747
