# copiato dalla tabella del logbook marzo 16
# angolo	conteggi	tempo
# [gradi]		[ms]
0	2013	45545
5	2017	45719
10	1913	40470
15	2026	44478
20	1991	43962
25	1943	45181
30	2027	44854
35	2011	47750
40	2043	48438
45	2037	48067
50	2120	50162
55	2196	51535
60	2358	60196
65	2233	59146
70	2184	63558
75	2117	72280
# outlier a 80 ripreso il 0319
# 80	2981	89505
80	2166	84910
85	2977	153280
90	1660	124343
100	9	51195
95	546	94025
-5	3727	85081
-10	2079	49708
-15	2017	48449
-20	2015	48366
-25	2002	48776
-30	2034	48882
-35	2008	52989
-40	2038	52408
-45	2027	55562
-50	2029	58274
-55	2034	58616
-60	2010	65856
-65	2000	76642
-70	1837	81179
-80	1042	84227
-90	18	61616
